"Time","6-DOF Body Translation Monitor: 6-DOF Body Translation Monitor (m)"
10.799999999999978,-0.5638129772155873
10.899999999999977,-0.5480118841444439
10.999999999999977,-0.5306625110087444
11.099999999999977,-0.511792645019818
11.199999999999976,-0.4914347596723278
11.299999999999976,-0.4696261733294563
11.399999999999975,-0.44640910771163994
11.499999999999975,-0.42182742432337134
11.599999999999975,-0.3959246847743146
11.699999999999974,-0.36874393275258477
11.799999999999974,-0.3403252517509052
11.899999999999974,-0.31070315013441707
11.999999999999973,-0.2799047519051627
12.099999999999973,-0.2479480630780459
12.199999999999973,-0.2148398937711359
12.299999999999972,-0.18057424015332507
12.399999999999972,-0.14513158819070718
12.499999999999972,-0.10847864203364063
12.599999999999971,-0.0705692999955981
12.69999999999997,-0.03134647328285879
12.79999999999997,0.00925574631118177
12.89999999999997,0.05130965227295428
12.99999999999997,0.09488881384587247
13.09999999999997,0.1400636784849063
13.199999999999969,0.18689742696018966
13.299999999999969,0.2354408730474306
13.399999999999968,0.28572885292502415
13.499999999999968,0.3377737072272625
13.599999999999968,0.3915603585792597
13.699999999999967,0.4470423828875017
13.799999999999967,0.5041388693502089
13.899999999999967,0.5627331218296571
13.999999999999966,0.6226708460609733
14.099999999999966,0.6837575138464899
14.199999999999966,0.7457586186130102
14.299999999999965,0.808396559160826
14.399999999999965,0.8713393587405006
14.499999999999964,0.9341886682699962
14.599999999999964,0.9964836245696802
14.699999999999964,1.0577271033696185
14.799999999999963,1.1174046249335308
14.899999999999963,1.1749923440617043
14.999999999999963,1.2299706840043576
15.099999999999962,1.2818476320702346
15.199999999999962,1.3301802680235704
15.299999999999962,1.3745720221518862
15.399999999999961,1.4146774844330965
15.499999999999961,1.4502215168766286
15.59999999999996,1.48099941591985
15.69999999999996,1.506868330432503
15.79999999999996,1.527730137568117
15.89999999999996,1.5435108437788068
15.99999999999996,1.554161889229973
16.09999999999996,1.5596739982118595
16.19999999999996,1.5600725596384382
16.29999999999996,1.5554186858391308
16.399999999999963,1.545802870026628
16.499999999999964,1.5313279906951935
16.599999999999966,1.5121214015142928
16.699999999999967,1.4883338453642194
16.79999999999997,1.4601229224283132
16.89999999999997,1.4276606895453174
16.99999999999997,1.3911439524554319
17.099999999999973,1.3508035280360982
17.199999999999974,1.3069041473724097
17.299999999999976,1.2597506748851557
17.399999999999977,1.2096831803320502
17.49999999999998,1.157035101667399
17.59999999999998,1.102135330569373
17.69999999999998,1.0453339132815167
17.799999999999983,0.986995131173318
17.899999999999984,0.9274727107645728
17.999999999999986,0.8670958622744543
18.099999999999987,0.806172439328524
18.19999999999999,0.7449979019525971
18.29999999999999,0.6838471863899863
18.39999999999999,0.6229618443645776
18.499999999999993,0.5625414804663318
18.599999999999994,0.5027340007076042
18.699999999999996,0.44362787398940023
18.799999999999997,0.38524430677204075
18.9,0.3275390640666886
19.0,0.27040286127457347
19.1,0.21366193899925603
19.200000000000003,0.15708590619870988
19.300000000000004,0.1004047085325922
19.400000000000006,0.04332969260008148
19.500000000000007,-0.01442853675668257
19.60000000000001,-0.07314373442349836
19.70000000000001,-0.1330587502053867
19.80000000000001,-0.19437400528352586
19.900000000000013,-0.25724025994758926
20.000000000000014,-0.3217530179673401
20.100000000000016,-0.38795011588083084
20.200000000000017,-0.455811728370862
20.30000000000002,-0.5252590890938434
20.40000000000002,-0.5961549849769954
20.50000000000002,-0.6683059239868685
20.600000000000023,-0.7414703149757815
20.700000000000024,-0.8153676901076161
20.800000000000026,-0.8896821104183911
20.900000000000027,-0.9640637709993203
21.00000000000003,-1.0381324181348406
21.10000000000003,-1.111467001101438
21.20000000000003,-1.1836090504104102
21.300000000000033,-1.2540606723595762
21.400000000000034,-1.3222810885415184
21.500000000000036,-1.387761338108909
21.600000000000037,-1.4500446961034523
21.70000000000004,-1.5086709731999084
21.80000000000004,-1.5632051645256824
21.90000000000004,-1.6132912034215474
22.000000000000043,-1.6586556995158932
22.100000000000044,-1.6990903200549803
22.200000000000045,-1.7344364192111617
22.300000000000047,-1.7645696325516134
22.40000000000005,-1.7893819322791191
22.50000000000005,-1.8088187928167354
22.60000000000005,-1.8229091869294616
22.700000000000053,-1.8317230735953918
22.800000000000054,-1.8353449061099987
22.900000000000055,-1.8338773530734185
23.000000000000057,-1.827446293102428
23.10000000000006,-1.8161997905143166
23.20000000000006,-1.8003047889171384
23.30000000000006,-1.7799542819671492
23.400000000000063,-1.7553604559442832
23.500000000000064,-1.7267384911121704
23.600000000000065,-1.69433385839385
23.700000000000067,-1.658401977461354
23.800000000000068,-1.6191742041100456
23.90000000000007,-1.5768815684838404
24.00000000000007,-1.5317514772417513
24.100000000000072,-1.4840074656097801
24.200000000000074,-1.433879542521926
24.300000000000075,-1.3816015783950812
24.400000000000077,-1.327416226935399
24.500000000000078,-1.2715750837467878
24.60000000000008,-1.214320380885634
24.70000000000008,-1.1558599944584795
24.800000000000082,-1.0963793645449043
24.900000000000084,-1.036078132907938
25.000000000000085,-0.9751613557224453
25.100000000000087,-0.9138172597240564
25.200000000000088,-0.8522102937844286
25.30000000000009,-0.790482698016027
25.40000000000009,-0.7287676417577594
25.500000000000092,-0.6671866585202146
25.600000000000094,-0.6058374528746449
25.700000000000095,-0.5447898663832734
25.800000000000097,-0.48408610688167547
25.900000000000098,-0.42374017187913404
26.0000000000001,-0.3637288716077598
26.1000000000001,-0.303986322456848
26.200000000000102,-0.244403765606571
