"Subtract.Body 1.Default: Direction [1,0,0] (m)","Subtract.Body 1.Default: Wall Y+"
0.8699852691275485,0.15333574469461467
0.8724745493505426,0.1536587344101959
0.8749647614611533,0.1540145411751006
0.8774558665725711,0.1544015960107895
0.8799478253152614,0.15481684918173455
0.882449216120953,0.15529474678006552
0.8849425776504833,0.15576393605503575
0.8874194373864209,0.15633272334162251
0.8899146129137754,0.1569128216037132
0.8924190857854738,0.15749374701160992
0.8949153749950263,0.1581912544371614
0.8974122376524627,0.15888043778974273
0.899909641141718,0.15966259314417167
0.9024075443654122,0.16049369243222336
0.9049059052599846,0.1614085673127965
0.9074046780140439,0.16238478112983282
0.9099038127315215,0.16340438773881538
0.9124032564249649,0.16443042591845852
0.9149029559575873,0.16546661194424445
0.917402861669466,0.16650928938193665
0.9199029289271177,0.1675402702734972
0.9224031170073314,0.16856487478479906
0.9249033881638127,0.16958947756959047
0.9274037074307095,0.1706248832590998
0.929904041422724,0.17166893999279859
0.9324043582364794,0.17271925759803117
0.9349046290553891,0.17376580692206886
0.9374041291556836,0.17483535618338572
0.9398888318839822,0.17592007965517836
0.9423421955652318,0.17703430831792713
0.944763403454951,0.17818116119717353
0.9471381096948968,0.17933442091531385
0.9494589152578137,0.18052548488415435
0.951748171892325,0.18171091143091492
0.9539940442316757,0.1828356797992762
0.9561605032483604,0.1839342361181675
0.9582450520705891,0.1849856364315004
0.9602510986929822,0.18597727527153285
0.9621750809517836,0.186920699143187
0.9640234337912512,0.18781986872148826
0.9657985152804605,0.18866326359344535
0.9674974577173656,0.18945978909103292
0.9691228677836496,0.19020313325984622
0.9706978818755645,0.19090908143558202
0.9722418064569402,0.19156593305397054
0.9737374501362949,0.19216484506805356
0.9751719060723343,0.19271757544695972
0.9765553751231786,0.19327721443354437
0.9779067650010445,0.19389559291836622
0.9792470218329393,0.19460948353205715
0.9805700599238174,0.19541473851504634
0.9818465516599169,0.19633479305464824
0.9830644703576219,0.1973815724880449
0.9842429394238462,0.19865049687160455
0.9854107058889621,0.20015287479111216
0.9865792089943393,0.20178900498917274
0.9877473379005351,0.20325085878769358
0.9888941545182113,0.20432687716624093
0.9899883307025552,0.20487738999305058
0.9910208203485913,0.20498179661469831
0.9919838660438989,0.20409446806442494
0.9928670292933334,0.20049917922131635
0.9936716276970634,0.19323774760768184
