"Time","Downstream Lift Monitor: Downstream Lift Monitor (N)"
0.1,-7.581637880846046E-4
0.2,-7.611288334406954E-4
0.30000000000000004,-8.805573544684742E-4
0.4,-0.0011007513583850097
0.5,-9.9082787898773E-4
0.6,-0.0010401558721873198
0.7,-8.638999345206907E-4
0.7999999999999999,-6.275000811388022E-4
0.8999999999999999,-3.701115720002566E-4
0.9999999999999999,1.5087226431495613E-4
1.0999999999999999,7.895484096054044E-4
1.2,0.001478553002887854
1.3,0.002252587522439945
1.4000000000000001,0.0032425626486536096
1.5000000000000002,0.004184049876887053
1.6000000000000003,0.005151997835041472
1.7000000000000004,0.005992008023144526
1.8000000000000005,0.006686603570660607
1.9000000000000006,0.007306744282745535
2.0000000000000004,0.007887073312154142
2.1000000000000005,0.008218683836415315
2.2000000000000006,0.008437718563173928
2.3000000000000007,0.008627514545587214
2.400000000000001,0.00862008183319746
2.500000000000001,0.008520870392785028
2.600000000000001,0.008335716199552212
2.700000000000001,0.008141953685250804
2.800000000000001,0.007824411914769628
2.9000000000000012,0.007380406474887603
3.0000000000000013,0.006809888531599649
3.1000000000000014,0.006197501722803175
3.2000000000000015,0.005564002964085183
3.3000000000000016,0.004838229983647735
3.4000000000000017,0.004073895818430991
3.5000000000000018,0.0032484621570138613
3.600000000000002,0.002306534555454049
3.700000000000002,0.001291288124598941
3.800000000000002,9.536778352513514E-5
3.900000000000002,-0.0011895604451979476
4.000000000000002,-0.0026717617391526834
4.100000000000001,-0.004312017991024092
4.200000000000001,-0.006079830938433277
4.300000000000001,-0.008029774448826138
4.4,-0.010142964392979643
4.5,-0.012371720116144394
4.6,-0.014664507162127235
4.699999999999999,-0.017050681073094334
4.799999999999999,-0.01943164212415094
4.899999999999999,-0.021797155349782365
4.999999999999998,-0.024095926248095825
5.099999999999998,-0.02628116813331965
5.1999999999999975,-0.028324655269637507
5.299999999999997,-0.03021951232574876
5.399999999999997,-0.03188048275367768
5.4999999999999964,-0.033271904470814004
5.599999999999996,-0.03435444953484204
5.699999999999996,-0.03508521183049504
5.799999999999995,-0.03548287196419737
5.899999999999995,-0.03554581982734311
5.999999999999995,-0.03524544035126755
6.099999999999994,-0.03457033706044918
6.199999999999994,-0.03347683296039339
6.299999999999994,-0.03195025561596425
6.399999999999993,-0.030006920080870553
6.499999999999993,-0.027633581942804353
6.5999999999999925,-0.02481739060056002
6.699999999999992,-0.02160174621361235
6.799999999999992,-0.017951592349298096
6.8999999999999915,-0.013842788916036058
6.999999999999991,-0.009274645027384499
7.099999999999991,-0.004273215841709675
7.19999999999999,0.0011499116219659687
7.29999999999999,0.0069883956605114725
7.39999999999999,0.013195421750404786
7.499999999999989,0.01973963874115524
7.599999999999989,0.02665574608759145
7.699999999999989,0.03384023433122489
7.799999999999988,0.04132809002481952
7.899999999999988,0.04907116450148074
7.999999999999988,0.05703479554384718
8.099999999999987,0.06518959945092431
8.199999999999987,0.07343073198731935
8.299999999999986,0.08177803144907113
8.399999999999986,0.09015817849705082
8.499999999999986,0.0984868734832027
8.599999999999985,0.10678278793880588
8.699999999999985,0.11497555432297646
8.799999999999985,0.12296975790513488
8.899999999999984,0.13074122905020485
8.999999999999984,0.13815138425545342
9.099999999999984,0.1452700052833446
9.199999999999983,0.15204831288535076
9.299999999999983,0.15848912674462873
9.399999999999983,0.1646894965612195
9.499999999999982,0.17064790806397354
9.599999999999982,0.17633492086735028
9.699999999999982,0.1818092226594928
9.799999999999981,0.18714760682629242
9.89999999999998,0.192463813569194
9.99999999999998,0.19815689888293261
10.09999999999998,0.20415583705503554
10.19999999999998,0.2104051357205266
10.29999999999998,0.21715371124726526
10.399999999999979,0.22475012125770086
10.499999999999979,0.232890358634795
10.599999999999978,0.24193999862448842
10.699999999999978,0.2518692100470488
10.799999999999978,0.26252578993280795
10.899999999999977,0.2737310790630786
10.999999999999977,0.28525417652164803
11.099999999999977,0.29678329976417206
11.199999999999976,0.3077022044164075
11.299999999999976,0.3175490901013137
11.399999999999975,0.3255249483362724
11.499999999999975,0.3307835760528677
11.599999999999975,0.3322227801367002
11.699999999999974,0.32925599187037874
11.799999999999974,0.3207894060929098
11.899999999999974,0.3060851049432389
11.999999999999973,0.28491199951639756
12.099999999999973,0.2564301660484643
12.199999999999973,0.2205181529527897
12.299999999999972,0.17762617861479713
12.399999999999972,0.12814408238128877
12.499999999999972,0.07259990199211028
12.599999999999971,0.01185060772325195
12.69999999999997,-0.05299669243409381
12.79999999999997,-0.12052196345289264
12.89999999999997,-0.189674219705734
12.99999999999997,-0.25865373302866285
13.09999999999997,-0.3257331902763021
13.199999999999969,-0.38978698342837936
13.299999999999969,-0.44965075572851115
13.399999999999968,-0.5041756013722983
13.499999999999968,-0.5524334669054749
13.599999999999968,-0.5937254954146309
13.699999999999967,-0.627073638358044
13.799999999999967,-0.6524075204360581
13.899999999999967,-0.669747295978511
13.999999999999966,-0.6790751622467294
14.099999999999966,-0.6810197095497124
14.199999999999966,-0.6757165377720499
14.299999999999965,-0.6646067076550416
14.399999999999965,-0.6483216531979753
14.499999999999964,-0.627676702408477
14.599999999999964,-0.6035880349717694
14.699999999999964,-0.576623730277859
14.799999999999963,-0.5472467065714698
14.899999999999963,-0.515399566490651
14.999999999999963,-0.48097723836402867
15.099999999999962,-0.44389703321923446
15.199999999999962,-0.40420069501431405
15.299999999999962,-0.36145614362387385
15.399999999999961,-0.3156702189565762
15.499999999999961,-0.2668300141110871
15.59999999999996,-0.21477896585123565
15.69999999999996,-0.15962958765789226
15.79999999999996,-0.10152114996316727
