"Time","Solver CPU Time per Time Step Monitor: Solver CPU Time per Time Step Monitor (s)"
0.1,9.893000000000002
0.2,9.524999999999993
0.30000000000000004,6.967000000000002
0.4,6.415999999999998
0.5,6.247999999999998
0.6,5.995000000000001
0.7,5.981999999999998
0.7999999999999999,6.014999999999999
0.8999999999999999,5.911999999999998
0.9999999999999999,5.879999999999998
1.0999999999999999,5.943
1.2,6.1450000000000005
1.3,6.470000000000002
1.4000000000000001,6.3199999999999985
1.5000000000000002,6.444
1.6000000000000003,6.848
1.7000000000000004,6.499
1.8000000000000005,6.509999999999999
1.9000000000000006,6.387000000000002
2.0000000000000004,6.39
2.1000000000000005,6.421000000000001
2.2000000000000006,6.226
2.3000000000000007,6.207999999999998
2.400000000000001,6.339999999999999
2.500000000000001,6.249999999999998
2.600000000000001,6.434999999999997
2.700000000000001,6.471
2.800000000000001,6.169000000000002
2.9000000000000012,5.79
3.0000000000000013,5.844999999999999
3.1000000000000014,5.611
3.2000000000000015,5.687
3.3000000000000016,5.5280000000000005
3.4000000000000017,5.441
3.5000000000000018,5.381999999999999
3.600000000000002,5.646999999999999
3.700000000000002,5.424999999999999
3.800000000000002,5.435
3.900000000000002,5.381
4.000000000000002,5.474999999999998
4.100000000000001,5.43
4.200000000000001,5.419
4.300000000000001,5.400999999999998
4.4,5.392000000000001
4.5,5.233999999999999
4.6,5.791
4.699999999999999,5.5569999999999995
4.799999999999999,5.393
4.899999999999999,5.500000000000001
4.999999999999998,5.453999999999999
5.099999999999998,5.689
5.1999999999999975,5.199
5.299999999999997,5.062999999999999
5.399999999999997,5.243999999999998
5.4999999999999964,5.176
5.599999999999996,5.155999999999999
5.699999999999996,5.209999999999999
5.799999999999995,5.215999999999998
5.899999999999995,5.015000000000001
5.999999999999995,5.08
6.099999999999994,4.990999999999998
6.199999999999994,4.850999999999998
6.299999999999994,4.756999999999998
6.399999999999993,4.7959999999999985
6.499999999999993,4.8210000000000015
6.5999999999999925,4.854
6.699999999999992,4.769999999999999
6.799999999999992,5.781999999999999
6.8999999999999915,4.844
6.999999999999991,4.8530000000000015
7.099999999999991,4.413999999999999
7.19999999999999,4.3999999999999995
7.29999999999999,4.3889999999999985
7.39999999999999,4.377999999999998
7.499999999999989,4.322
7.599999999999989,4.369999999999999
7.699999999999989,4.393
7.799999999999988,4.188000000000001
7.899999999999988,4.134
7.999999999999988,4.324999999999999
8.099999999999987,4.145
8.199999999999987,4.164
